SITE,INTENSIFICATION,AI,DIVERSITY_INDEX,NATURAL_VEGETATION,AGRICULTURE,PLANTATION,SEMINATURAL_VEGETATION,HUMAN_SETTLEMENT,BARREN_LAND,CANAL
1,LOW,51.21035336,2.29,2308.99257,26872.93579,0,15995.01741,0,0,0
2,LOW,67.14670458,1.69,0,35765.82405,10225.05721,0,1244.768672,0,0
3,LOW,8.889847451,1.64,24950.36595,6109.738561,11176.71489,5898.830525,900,0,0
4,LOW,8.537345642,1.36,5441.607869,2900.032034,37319.92846,3374.081563,0,0,0
5,LOW,12.8952748,1.12,49035.64993,0,0,0,0,0,0
6,LOW,52.65568295,1.45,0,33956.05778,8372.577708,1523.364392,0,0,0
7,LOW,32.31988798,1.27,0,29054.35313,14890.75615,18.93127023,0,5071.60938,0
8,LOW,27.24934993,1.75,0,23841.1188,24294.53112,0,0,0,0
9,HIGH,52.91722398,1.43,0,44540.90015,0,1134.219024,0,0,1604.182653
10,HIGH,56.4781971,1.38,0,33583.75659,13651.89334,0,0,0,0
11,HIGH,83.85499127,1.42,0,28246.58487,0,19891.55845,0,0,0
12,HIGH,75.55296714,1.38,0,39439.10231,0,7251.866347,0,0,0
13,HIGH,71.97299416,1.67,0,36147.778,0,12887.872,0,0,0
1,LOW,51.21035336,2.29,23631.52508,90327.61876,0,63774.5225,1240.463367,0,0
2,LOW,67.14670458,1.69,0,139347.5718,27447.39373,2700,19069.61549,0,7681.984291
3,LOW,8.889847451,1.64,143449.9818,17970.91947,0,31636.00568,900,0,2289.65839
4,LOW,8.537345642,1.36,168672.9015,4500,0,15306.27399,1337.11043,0,6181.041714
5,LOW,12.8952748,1.12,195687.5719,494.2043506,0,64.78907513,0,0,0
6,LOW,52.65568295,1.45,0,109495.2004,0,66214.15286,0,0,0
7,LOW,32.31988798,1.27,0,52920.30875,97696.13116,16961.60026,0,18489.20993,9738.0104
8,LOW,27.24934993,1.75,0,64298.78121,124756.0904,0,0,3600,0
9,HIGH,52.91722398,1.43,0,152341.5037,0,18715.66827,0,0,16489.76271
10,HIGH,56.4781971,1.38,0,82389.17561,83293.4061,0,0,26338.12179,0
11,HIGH,83.85499127,1.42,0,124394.1711,0,56334.95198,900.0000002,0,0
12,HIGH,75.55296714,1.38,0,127718.1781,0,38251.32272,0,0,22141.53675
13,HIGH,71.97299416,1.67,0,113867.8044,0,39156.33792,0,0,46066.27195
1,LOW,51.21035336,2.29,267030.5898,286305.8321,0,195854.7513,6300,0,39114.31527
2,LOW,67.14670458,1.69,0,509292.3281,106362.6759,29518.27719,68018.71964,0,63588.08678
3,LOW,8.889847451,1.64,619909.4349,100937.2104,0,51547.67634,7200,0,5596.851488
4,LOW,8.537345642,1.36,420960.2354,41274.94055,0,87292.01921,8915.038746,0,16226.92877
5,LOW,12.8952748,1.12,772047.9803,5952.47297,0,900.0000002,3590.719886,0,0
6,LOW,52.65568295,1.45,0,590459.1032,0,143502.988,0,0,1518.206075
7,LOW,32.31988798,1.27,0,176621.631,504515.793,41881.09167,8100,36017.32584,9738.0104
8,LOW,27.24934993,1.75,0,176385.3608,531764.7206,0,3600,66213.6541,0
9,HIGH,52.91722398,1.43,0,517149.5217,0,105720.2691,87904.60085,0,34707.62245
10,HIGH,56.4781971,1.38,0,196304.412,400920.9559,1893.603873,9900,149839.7227,0
11,HIGH,83.85499127,1.42,0,542804.2797,0,175743.9092,23331.49773,0,0
12,HIGH,75.55296714,1.38,0,471938.9349,0,155337.1494,6300,0,92153.8895
13,HIGH,71.97299416,1.67,0,416725.981,0,127485.966,19387.77634,900,172300.1477
1,LOW,51.21035336,2.29,476487.4087,1339526.108,0,475327.4931,38520.57311,0,54796.06209
2,LOW,67.14670458,1.69,585721.6988,1570897.671,355228.437,115378.0272,152596.8618,0,253118.4553
3,LOW,8.889847451,1.64,2409402.957,588684.1057,0,78493.18126,49291.12438,0,14405.63145
4,LOW,8.537345642,1.36,2366337.279,341457.6178,0,346555.5733,20405.99344,3600,16226.92877
5,LOW,12.8952748,1.12,3063255.592,40815.4571,0,6300,20251.71715,0,1694.25779
6,LOW,52.65568295,1.45,0,2054332.142,0,765439.3793,270176.3967,0,1518.206075
7,LOW,32.31988798,1.27,0,1082817.647,1523784.617,132188.7358,238341.2741,152809.8129,13585
8,LOW,27.24934993,1.75,0,700305.5749,1222673.744,0,48600,349694.3607,0
9,HIGH,52.91722398,1.43,0,540549.5217,0,958893.5063,134559.0274,0,272699.644
10,HIGH,56.4781971,1.38,0,1138354.873,1599676.068,20140.4947,21778.87777,309765.0583,0
11,HIGH,83.85499127,1.42,0,2095101.359,0,732914.7257,328735.7834,0,0
12,HIGH,75.55296714,1.38,0,1757936.343,0,788814.0837,62765.27468,0,375688.699
13,HIGH,71.97299416,1.67,0,1519068.819,0,613921.7222,223738.5279,4500,613597.595
